id,type,amount,category_id,category_label,subcategory_id,subcategory_label,description,date,installments,recurrence,installment_group_id,installment_index,installment_total,recurrence_group_id,recurrence_index,recurrence_total,is_deleted,created_date
txn-20260425-0001,expense,290,2,דיור,8,ארנונה,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0002,expense,107.5,11,בריאות,3,ביטוחים,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0003,expense,4400,2,דיור,9,הוצאות הבית,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0004,expense,135,11,בריאות,15,רפואה,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0005,expense,60,1,תחבורה,6,ציבורית,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0006,expense,533,1,תחבורה,4,קורקינט,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0007,expense,100,1,תחבורה,7,דלק,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0008,expense,37,3,ציוד ואביזרים,,,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0009,expense,72,5,מינויים,13,דיגיטל,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0010,expense,150,5,מינויים,14,חדר כושר,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0011,expense,1200,16,בילויים,,,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0012,expense,70,8,תספורת,,,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0013,expense,198,1,תחבורה,5,חנייה,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0014,expense,30,17,ביגוד,,,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0015,expense,47,3,ציוד ואביזרים,,,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
txn-20260425-0016,expense,510,14,מתנות,,,,2024-09-30,1,one-time,,,,,,,FALSE,2026-04-25
